image_id,bbox_x,bbox_y,bbox_w,bbox_h,segmentation,score,label
321559873_581562729,626.0050659179688,449.3984375,1050.5557250976562,556.22265625,"{'size': [1365, 2048], 'counts': 'bZhm03bZ1000000000M6M00000000000M30000J60000M30000M3000000G63000A?0000TOl00000XOmMbhN_2^W1aMbhN_2^W1aMbhN_2^W1<00000003M0003M00000000003M000003M0000000000004L0003M000003M00003M0000000000030M0003M00003M00000000000003M0003M000003M00003M00030M0000006J00036G0000b0^O00033J00004L0000009G00009G0000<D0000n0RO00004L00000000000J9M000M6M000M6M00003M00000M30000M6M000M30000M6M00003M00000M30000M6M000000000M6M00000000000000000M3000003M00003M00003M00000000000M6M000000000M30000D?M0000003M00003M00003M00000000003M0000003M00000000003M00000000003M0000000000004L00000000003M00003M0000000000003M00000000003M0000000000000000003M00000000003M0000000000000000000000000000000000003M00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003M00000000000000000000000000000000000000000000000000000000000000000000000000003M00000000000000000000000000000000000<D00003M0000000000000000000000003M0000000000000000000000000000003M000000000003M000000000000000000000000000000000000000000003M00000000000000000000000000000000000000000000000000000000000003M00000000000M3000000000000000003M00000M30000000003J300000000000000000000000000000000000003J3000000000000000000000000000000000000000000000003M0000000000003M00003J30000000000000003J3000000M30000000000000000M30003M0000003M00003M00000000000M3000000000000M30003M00000M3000000000000000003M00004H40003M00000M30000M3000003J30000000003J30003M00003J3000000M30003J30000000000000003J3000003M00003M00000M30003M00000M3000003M00003J30003M00003M0000000000003M00003J30003M00000000000M3000003J30000000003J30003J30003G6000004F60003M00003M00003J30003M0000003I40006G30003J30006G30003M000000<D00009D30003^O?0003D90004I300000_kie0'}",0.9737873077392578,turtle
321559873_581562729,743.9432983398438,649.39501953125,155.524658203125,358.67559814453125,"{'size': [1365, 2048], 'counts': 'oRWo0X5]U10000000000000000000000003M000M<G000Jb0D00000M<G00003M000M6M000M9J000M9J00000D?M00007I00003M00006J00003M0000003M00006J00003M00003M00003M0000003M00003M00003M00003M00003M0000003M000<GM000e0bGbnN^6[Q1bIenN^6[Q1bIenN^6gU1UMM000l0WOM00000<HL000?A0000R1TOJ0009G000030M000006J00006MM00030M00039D0006J0000006J00003M00006J00003M00006J0000007I0000gZe_1'}",0.9580470323562622,flipper_fl
321559873_581562729,1375.9615478515625,742.2119140625,224.6566162109375,231.4443359375,"{'size': [1365, 2048], 'counts': 'PoZi1U1`Y100000000000000000000000000000M6M00000M9J000M6M00003M00003M000M9J0000003M000M9J00003M00003M000Ac0L0000003M00003M00003M00006J00003M0000003M00006J00003M00003M00006J0000006J00006J00003M00006J00004L0000003M00003M000<JJ00030M00003M000003M000003M00006J0003M000003M0000030M00030M00003M0003M000003M000003<A0000000003M00003M00003M0000000000004L00003M00003M0000000000003M00003M00000000003M00003M0000003M00000A?0003M00003J30006D600000R1eN90009XO?0006G30006G3000<]O700000ho^b0'}",0.9375676512718201,flipper_rl
321559873_581562729,625.9763793945312,466.93243408203125,123.9639892578125,99.1832275390625,"{'size': [1365, 2048], 'counts': 'UYli0a1TY100000000000000000000000000000M6M000Ab0M0000003M00000000003M00000000003M0000000000003M0000<D000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000D<0000M30000M30000J6000000J60000G90000QOo00000G900000000000000000000000lhae1'}",0.915847897529602,head
321559873_581562729,1510.8499755859375,660.48974609375,167.2528076171875,89.23895263671875,"{'size': [1365, 2048], 'counts': 'ZjVo1W1^Y10000000000000000000000003M00000000003M0000003M00004L00000000003M0000000000000000003M00003M00003M00003M0000000000000000003M00003M0000000000003M00000000000000000000003M00000000000<D00003M000000000030M0000000000000000003M00039D000000000003M00003M00003M00000000000D<000000M30003M00000000000M30003M0000003M00000000006G3000f0WO3000djY?'}",0.6330627202987671,flipper_rr
321595638_581630638,742.6998901367188,430.5367126464844,823.7549438476562,531.2397766113281,"{'size': [1365, 2048], 'counts': 'b]dU1?VZ1000G90000J60000M3000000I70000oNnNPhNa1PX1_NPhNa1PX1_NPhNa1mW1e000000M300003M0000000000000000000000030M0003M0000000000003M00000000000000000000000000000003M000M6M000J<J000M6M0000003M000J<J000M:I000M30000M6M00000M9J000L7M000M6cjN]KbT1c4^kN]KbT1c4^kN]K_T1o4UkNTKkT1l4UkNTKkT1l4UkNTKkT1^5M00000M30000000000M30000M3000000000000M6M000000000M30000M6M000M3000000000000M6M000000000M6M000M3000000M30000M3000000000003M000M3000000M30000000000M3000000000000000000000000000000M30000000000M3000000000000M3000000000000000000000000000000000000000000L4000000000000000000000000M30000M3000000000000M300000000000M3000000000M30000000000000M3000M03000000000M3000000M030000000000000000000000M300000000000M300000000000M30000M300000M03000000000M30000000000M30000000M30000000000M30000M3000000000000M30000000000000000M3000000000000M30000M3000M03000000000000000000M30003M00000M30000M30000L4000000000000M3000M300000M30003J3000000M30000000000M30000M30000M3000003M00003J30000M30003J30000M3000000000000M30000M30003J30000M3000000M30000M30003G60003J30003M0000000M30000L40000M30003J3000000000003G60003J30003M00000M30004I3000000M30003J30003G60006G30000J6000006G30006A9000b0[O3000Xk]i0'}",0.969103991985321,turtle
321595638_581630638,741.8258056640625,786.1578369140625,264.94140625,176.60113525390625,"{'size': [1365, 2048], 'counts': 'XPfn0e0PZ100000000000000000000000000000J6000000000000M30000000000M30000M3000000M30000M30000000000000000MD?00000L40000M300000M3000M3000000000000M300000M3000M300000M3000M0300000000000M03000000000M0300000000000M03000M03000000000M0300000000000M03000M30000MO4000000000M03000000M3000M030000M3000M03000M0300000000000M03000M030000M3000M3000000L13000M30000M03000MM6000M0300000M30000M03000M30000M03000M03000000M3000M03000M03000MO4000M30000000M3000M30000A?00000M3000000000000M30000M30000000000M3000000000000000000M30000000000M3000000000000000000M3000000000?^O300000000000000000000000lVlZ1'}",0.9410641193389893,flipper_fl
321595638_581630638,1362.359619140625,681.78369140625,183.8238525390625,128.95001220703125,"{'size': [1365, 2048], 'counts': 'dmjh1Q1dY100000000000000000000000000000M6M000L40000M30000M6M00000000000M6M000Ab0M00003M0000000000000000000000000000003M00003M00003M0000000000003M00000000000000004L0000003M00003M00003M0000000000000000003M00000000003M00003M0000000000003M0000000000000000000000000000000000000000000000000000000000000000000?A00003M00003M0000000000007I00003M00000M30003J30009D3000006VN^gNR1eX1nN[gNR1eX1nN[gNR1WY1M000000000000000000000000XS_d0'}",0.9269981980323792,flipper_rl
321595638_581630638,1000.2314453125,428.73858642578125,57.7437744140625,212.1201171875,"{'size': [1365, 2048], 'counts': '^SlY1S6bT1000000000000000000000000M30000000000M300000i0TO3000b0^O0000V2gM3000?^O30009D3000003M00004I30006J00003J30003M000000000000000000000000f]hX1'}",0.8893868923187256,flipper_fr
321595638_581630638,828.4283447265625,668.6781616210938,94.08355712890625,78.42828369140625,"{'size': [1365, 2048], 'counts': '`g]R1^1WY100000000000000000000000M3000003M000M6M000M6M00000D<000003M0000000000000000000000003M000000000000000000000000000000000000000000000000000000M3000000M30000J60000J60000J60000M3000000I70000J60000D<0000J60000J600000000000000000000000foR^1'}",0.8797958493232727,head
